0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 
1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 
2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 
3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 
4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 
5 4 3 2 1 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 
6 5 4 3 2 2 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
7 6 5 4 3 3 2 2 3 4 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 
8 7 6 5 4 4 3 3 3 4 5 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 
9 8 7 6 5 5 4 4 4 4 5 6 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 
10 9 8 7 6 6 5 5 4 5 5 6 7 7 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 
11 10 9 8 7 7 6 6 5 5 6 6 7 8 8 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 
12 11 10 9 8 8 7 7 6 5 6 7 7 8 9 9 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 
13 12 11 10 9 9 8 8 7 6 6 7 8 8 9 10 10 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 
14 13 12 11 10 10 9 9 8 7 7 7 8 9 9 10 11 11 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 35 36 37 38 39 
15 14 13 12 11 11 10 9 9 8 8 8 8 9 10 10 10 11 12 12 13 14 15 16 17 18 19 20 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 
16 15 14 13 12 12 11 10 9 9 9 9 9 9 9 10 11 10 11 12 13 13 14 15 16 17 18 19 20 21 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 
17 16 15 14 13 13 12 11 10 10 10 10 10 10 10 10 11 11 11 12 13 14 14 15 16 17 18 19 20 21 22 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 
18 17 16 15 14 14 13 12 11 11 11 11 11 11 11 11 11 12 12 12 13 14 15 15 16 17 18 19 20 21 22 23 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 
19 18 17 16 15 15 14 13 12 12 12 12 12 12 12 12 12 12 13 13 13 14 15 16 16 17 18 19 20 21 22 23 24 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 
20 19 18 17 16 16 15 14 13 13 13 13 13 13 12 13 13 12 13 14 14 13 14 15 16 17 17 18 19 20 21 22 23 24 25 25 26 27 28 29 30 31 32 33 34 35 36 37 
21 20 19 18 17 17 16 15 14 14 14 14 14 14 13 13 14 13 13 14 15 14 14 15 16 17 18 18 19 20 21 22 23 24 25 26 26 27 28 29 30 31 32 33 34 35 36 37 
22 21 20 19 18 18 17 16 15 15 15 15 15 15 14 14 14 14 14 14 15 15 15 15 16 17 18 19 19 20 21 22 23 24 25 26 27 27 28 29 30 31 32 33 34 35 36 37 
23 22 21 20 19 19 18 17 16 16 16 16 16 16 15 15 15 15 15 15 15 16 16 16 16 17 18 19 20 20 21 22 23 24 25 26 27 28 28 29 30 31 32 33 34 35 36 37 
24 23 22 21 20 20 19 18 17 17 17 17 17 17 16 16 16 16 16 16 16 16 17 17 17 17 18 19 20 21 21 22 23 24 25 26 27 28 29 29 30 31 32 33 34 35 36 37 
25 24 23 22 21 20 20 19 18 18 18 17 18 17 17 17 17 17 17 17 17 17 17 18 17 18 18 19 20 21 22 21 22 23 24 25 26 27 28 29 30 31 32 33 34 34 35 36 
26 25 24 23 22 21 21 20 19 19 19 18 18 18 17 18 18 17 18 18 18 17 18 18 18 18 18 19 20 21 21 22 22 23 24 24 25 26 27 28 29 30 31 32 33 34 35 36 
27 26 25 24 23 22 22 21 20 20 20 19 19 19 18 18 19 18 18 19 19 18 18 19 19 19 19 19 20 21 22 22 23 23 24 25 25 26 27 28 29 30 31 32 33 34 35 36 
28 27 26 25 24 23 23 22 21 21 21 20 20 20 19 19 19 19 19 19 20 19 19 19 20 20 20 20 20 21 22 23 23 24 24 25 26 26 27 28 29 30 31 32 33 34 35 36 
29 28 27 26 25 24 24 23 22 22 22 21 20 21 20 20 20 20 20 20 19 20 19 20 20 21 21 21 21 21 22 23 23 24 25 25 26 27 27 28 29 29 30 31 32 33 34 35 
30 29 28 27 26 25 25 24 23 22 23 22 21 21 21 21 21 21 21 21 20 20 20 20 21 21 22 22 22 22 22 23 24 24 25 26 26 27 28 28 29 30 30 31 32 33 34 35 
31 30 29 28 27 26 26 25 24 23 23 23 22 22 21 22 22 21 22 22 21 20 21 21 21 22 21 22 23 23 22 23 24 25 25 25 26 27 27 28 29 30 30 31 32 33 34 35 
32 31 30 29 28 27 27 26 25 24 24 24 23 23 22 22 23 22 21 22 22 21 21 22 22 21 22 22 23 24 23 23 24 24 25 26 26 27 28 27 28 29 30 31 32 33 33 34 
